model_type,variant,class_weight_strategy,stat,n_runs,n_features,n_train,n_val,val_acc_mean,val_acc_run_std,val_f1_macro_mean,val_f1_macro_run_std,cv_acc_mean,cv_acc_fold_std,cv_acc_run_std,cv_f1_macro_mean,cv_f1_macro_fold_std,cv_f1_macro_run_std
classifier_mlp,cform_diffmean_diffsum_form_mean_nplayers_stage_sum,sqrt,FOULS,2,135,1444,362,0.50415,0.015149999999999997,0.4227,0.005599999999999994,0.4737,0.02135,0.0058,0.40764999999999996,0.0223,0.0072500000000000064
classifier_mlp,cform_diffmean_diffsum_form_mean_nplayers_stage_sum,sqrt,GOALS,2,135,1444,362,0.5884,0.024899999999999978,0.4911,0.0068999999999999895,0.57805,0.02125,0.0022500000000000298,0.494,0.0217,0.0030000000000000027
classifier_mlp,cform_diffmean_diffsum_form_mean_nplayers_stage_sum,sqrt,OFFSIDES,2,135,1444,362,0.47514999999999996,0.013850000000000001,0.46055,0.009149999999999991,0.482,0.01635,0.001899999999999985,0.4789,0.015449999999999998,0.0022999999999999965
classifier_mlp,cform_diffmean_diffsum_form_mean_nplayers_stage_sum,sqrt,REDCARDS,2,135,1444,362,0.7887,0.02350000000000002,0.32685,0.008650000000000019,0.7594000000000001,0.0607,0.01579999999999998,0.33694999999999997,0.0109,0.015350000000000003
classifier_mlp,cform_diffmean_diffsum_form_mean_nplayers_stage_sum,sqrt,SHOTS_ON_TARGET,2,135,1444,362,0.6602,0.008299999999999974,0.4676,0.0022999999999999965,0.62985,0.0179,0.0008500000000000174,0.4837,0.014950000000000001,0.0021000000000000185
classifier_mlp,cform_diffmean_diffsum_form_mean_nplayers_stage_sum,sqrt,YELLOWCARDS,2,135,1444,362,0.4572,0.006900000000000017,0.4112,0.0068000000000000005,0.4358,0.01575,0.006099999999999994,0.3917,0.014700000000000001,0.009099999999999997
classifier_mlp_multioutput,cform_diffmean_diffsum_form_mean_nplayers_raw_stage_sum,none,CORNERS,2,249,1444,362,0.63815,0.011050000000000004,0.41405000000000003,0.009049999999999975,0.6146,0.012,0.0,0.4072,0.01355,0.00020000000000000573
classifier_mlp_multioutput,cform_diffmean_diffsum_form_mean_nplayers_raw_stage_sum,none,FOULS,2,249,1444,362,0.51795,0.004149999999999987,0.4174,0.003500000000000003,0.4762,0.016050000000000002,0.0039000000000000146,0.36939999999999995,0.0238,0.0022999999999999965
classifier_mlp_multioutput,cform_diffmean_diffsum_form_mean_nplayers_raw_stage_sum,none,GOALS,2,249,1444,362,0.6202,0.006900000000000017,0.46640000000000004,0.0002999999999999947,0.58085,0.013850000000000001,0.0022499999999999742,0.46809999999999996,0.01465,0.0002999999999999947
classifier_mlp_multioutput,cform_diffmean_diffsum_form_mean_nplayers_raw_stage_sum,none,OFFSIDES,2,249,1444,362,0.4572,0.020699999999999996,0.44815000000000005,0.020350000000000007,0.45985,0.012450000000000001,0.004750000000000004,0.4561,0.01215,0.0049000000000000155
