model_type,variant,class_weight_strategy,stat,rank,cv_f1_macro_mean,cv_f1_macro_run_std,cv_f1_macro_fold_std,val_f1_macro_mean,val_f1_macro_run_std,n_runs
classifier_mlp,cform_diffmean_diffsum_form_mean_nplayers_raw_stage_sum,none,FOULS,17,0.3711,0.0022,0.0223,0.41895,0.0149499999999999,2
classifier_mlp_multioutput,cform_diffmean_diffsum_form_mean_nplayers_raw_stage_sum,none,FOULS,18,0.3693999999999999,0.0022999999999999,0.0238,0.4174,0.0035,2
classifier_xgb,cform_diffmean_diffsum_form_mean_nplayers_raw_stage_sum,none,FOULS,19,0.36695,0.00035,0.0225,0.44355,0.0005499999999999,2
classifier_mlp_multioutput,cform_diffmean_diffsum_form_mean_nplayers_stage_sum,none,FOULS,20,0.3621,0.0007999999999999,0.02275,0.39045,0.0020499999999999,2
classifier_lstm_mlp,cform_diffmean_diffsum_form_mean_nplayers_stage_sum,none,OFFSIDES,1,0.4916,0.0012,0.0135,0.47275,0.0031499999999999,2
classifier_mlp_multioutput,cform_diffmean_diffsum_form_mean_nplayers_stage_sum,sqrt,OFFSIDES,2,0.4863,0.0010999999999999,0.01385,0.45035,0.0261499999999999,2
classifier_lstm_mlp,cform_diffmean_diffsum_form_mean_nplayers_stage_sum,sqrt,OFFSIDES,3,0.48435,0.00345,0.01185,0.48365,0.00675,2
classifier_xgb,cform_diffmean_diffsum_form_mean_nplayers_stage_sum,sqrt,OFFSIDES,4,0.48035,0.0050499999999999,0.0161499999999999,0.46775,0.0041499999999999,2
classifier_mlp,cform_diffmean_diffsum_form_mean_nplayers_stage_sum,sqrt,OFFSIDES,5,0.4789,0.0022999999999999,0.0154499999999999,0.46055,0.0091499999999999,2
classifier_mlp,cform_diffmean_diffsum_form_mean_nplayers_stage_sum,none,OFFSIDES,6,0.4767,0.0032999999999999,0.02105,0.4804,0.0039,2
classifier_lstm_mlp_multioutput,cform_diffmean_diffsum_form_mean_nplayers_stage_sum,sqrt,OFFSIDES,7,0.47665,0.00265,0.0154,0.4691,0.0156,2
classifier_xgb,cform_diffmean_diffsum_form_mean_nplayers_stage_sum,none,OFFSIDES,8,0.4731499999999999,0.0104499999999999,0.0192999999999999,0.46675,0.00245,2
classifier_mlp,cform_diffmean_diffsum_form_mean_nplayers_raw_stage_sum,sqrt,OFFSIDES,9,0.47225,0.0052499999999999,0.0126,0.47385,0.0063499999999999,2
classifier_lstm_mlp_multioutput,cform_diffmean_diffsum_form_mean_nplayers_stage_sum,none,OFFSIDES,10,0.4720499999999999,0.00165,0.0154,0.45185,0.00315,2
classifier_mlp,cform_diffmean_diffsum_form_mean_nplayers_raw_stage_sum,none,OFFSIDES,11,0.4695,0.0067,0.01225,0.4612,0.0066999999999999,2
classifier_lstm_mlp,cform_diffmean_diffsum_form_mean_nplayers_raw_stage_sum,none,OFFSIDES,12,0.46855,0.00665,0.0141,0.462,0.0166,2
classifier_lstm_mlp,cform_diffmean_diffsum_form_mean_nplayers_raw_stage_sum,sqrt,OFFSIDES,13,0.4678,0.0078,0.0149,0.4772,0.0055999999999999,2
classifier_mlp_multioutput,cform_diffmean_diffsum_form_mean_nplayers_stage_sum,none,OFFSIDES,14,0.46755,0.00605,0.0212,0.43095,0.0158499999999999,2
classifier_xgb,cform_diffmean_diffsum_form_mean_nplayers_raw_stage_sum,sqrt,OFFSIDES,15,0.4647,0.0085999999999999,0.0270499999999999,0.4566,0.0002999999999999,2
classifier_xgb,cform_diffmean_diffsum_form_mean_nplayers_raw_stage_sum,none,OFFSIDES,16,0.4612,0.0227999999999999,0.02785,0.45975,0.00125,2
classifier_mlp_multioutput,cform_diffmean_diffsum_form_mean_nplayers_raw_stage_sum,none,OFFSIDES,17,0.4561,0.0049,0.01215,0.44815,0.02035,2
classifier_mlp_multioutput,cform_diffmean_diffsum_form_mean_nplayers_raw_stage_sum,sqrt,OFFSIDES,18,0.45475,0.0111499999999999,0.01945,0.4268499999999999,0.04205,2
classifier_lstm_mlp_multioutput,cform_diffmean_diffsum_form_mean_nplayers_raw_stage_sum,sqrt,OFFSIDES,19,0.4546,0.0021999999999999,0.01715,0.436,0.0366,2
classifier_lstm_mlp_multioutput,cform_diffmean_diffsum_form_mean_nplayers_raw_stage_sum,none,OFFSIDES,20,0.4489499999999999,0.0043499999999999,0.0137,0.44575,0.01525,2
classifier_lstm_mlp,cform_diffmean_diffsum_form_mean_nplayers_raw_stage_sum,sqrt,REDCARDS,1,0.36995,0.02095,0.01375,0.34395,0.0019499999999999,2
classifier_lstm_mlp,cform_diffmean_diffsum_form_mean_nplayers_stage_sum,none,REDCARDS,2,0.3553,0.0131,0.01585,0.37,0.0005999999999999,2
classifier_lstm_mlp,cform_diffmean_diffsum_form_mean_nplayers_stage_sum,sqrt,REDCARDS,3,0.35155,0.02385,0.01405,0.349,0.0341999999999999,2
classifier_lstm_mlp_multioutput,cform_diffmean_diffsum_form_mean_nplayers_stage_sum,sqrt,REDCARDS,4,0.344,0.0042999999999999,0.0263,0.32475,0.01825,2
classifier_lstm_mlp_multioutput,cform_diffmean_diffsum_form_mean_nplayers_raw_stage_sum,sqrt,REDCARDS,5,0.3426,0.0082,0.02185,0.34855,0.0085499999999999,2
classifier_mlp,cform_diffmean_diffsum_form_mean_nplayers_raw_stage_sum,sqrt,REDCARDS,6,0.34165,0.00085,0.01185,0.33215,0.00495,2
classifier_lstm_mlp,cform_diffmean_diffsum_form_mean_nplayers_raw_stage_sum,none,REDCARDS,7,0.3408,0.0226,0.0159,0.3450499999999999,0.00575,2
classifier_mlp,cform_diffmean_diffsum_form_mean_nplayers_stage_sum,sqrt,REDCARDS,8,0.3369499999999999,0.01535,0.0109,0.32685,0.00865,2
classifier_mlp_multioutput,cform_diffmean_diffsum_form_mean_nplayers_raw_stage_sum,sqrt,REDCARDS,9,0.3369,0.0058,0.0204,0.3832,0.0097,2
classifier_mlp,cform_diffmean_diffsum_form_mean_nplayers_raw_stage_sum,none,REDCARDS,10,0.3340999999999999,0.0022,0.011,0.34155,0.00215,2
classifier_mlp,cform_diffmean_diffsum_form_mean_nplayers_stage_sum,none,REDCARDS,11,0.3212,0.0083999999999999,0.0127,0.31905,0.01095,2
classifier_xgb,cform_diffmean_diffsum_form_mean_nplayers_raw_stage_sum,sqrt,REDCARDS,12,0.3151,0.0096999999999999,0.00975,0.3429999999999999,0.0349,2
classifier_mlp_multioutput,cform_diffmean_diffsum_form_mean_nplayers_stage_sum,sqrt,REDCARDS,13,0.315,0.0041999999999999,0.01655,0.3027,0.0,2
classifier_lstm_mlp_multioutput,cform_diffmean_diffsum_form_mean_nplayers_raw_stage_sum,none,REDCARDS,14,0.31215,0.00275,0.009,0.3075,0.0,2
classifier_mlp_multioutput,cform_diffmean_diffsum_form_mean_nplayers_raw_stage_sum,none,REDCARDS,15,0.3089,0.0005,0.00885,0.3077999999999999,0.0002999999999999,2
classifier_mlp_multioutput,cform_diffmean_diffsum_form_mean_nplayers_stage_sum,none,REDCARDS,16,0.3054,0.0,0.0021,0.3081,0.0,2
classifier_xgb,cform_diffmean_diffsum_form_mean_nplayers_stage_sum,none,REDCARDS,16,0.3054,0.0,0.0021,0.3081,0.0,2
classifier_xgb,cform_diffmean_diffsum_form_mean_nplayers_raw_stage_sum,none,REDCARDS,16,0.3054,0.0,0.0021,0.3081,0.0,2
classifier_xgb,cform_diffmean_diffsum_form_mean_nplayers_stage_sum,sqrt,REDCARDS,16,0.3054,0.0,0.0021,0.3081,0.0,2
classifier_lstm_mlp_multioutput,cform_diffmean_diffsum_form_mean_nplayers_stage_sum,none,REDCARDS,20,0.30525,4.999999999999449e-05,0.00215,0.307,0.0010999999999999,2
